"","site_id","site_name","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_category","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","last_yes_year","last_yes_month","last_yes_day","last_yes_doy","last_yes_julian_date","numdays_until_next_no","observed_status_conflict_flag","prcp_summer","prcp_fall","prcp_winter","prcp_spring","tmin_summer","tmin_fall","tmin_winter","tmin_spring","tmax_summer","tmax_fall","tmax_winter","tmax_spring"
"11",8253,"Home",40.672852,-111.969254,1331,"UT",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",23674,500,"Flowers","Flowers or flower buds",2022,6,20,171,2459751,3,2022,10,19,292,2459872,7,"-9999",66.9,114.09,70.75,97.43,18.7623913043478,6.96725274725275,-4.52088888888889,4.11608695652174,33.800652173913,19.6642857142857,5.73,17.5197826086957
"12",8253,"Home",40.672852,-111.969254,1331,"UT",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",23674,501,"Flowers","Open flowers",2022,7,12,193,2459773,22,2022,10,19,292,2459872,7,"-9999",66.9,114.09,70.75,97.43,18.7623913043478,6.96725274725275,-4.52088888888889,4.11608695652174,33.800652173913,19.6642857142857,5.73,17.5197826086957
"13",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",41715,390,"Fruits","Ripe fruits",2022,8,11,223,2459803,7,2022,12,15,349,2459929,-9999,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"14",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",41715,482,"Leaves","Initial growth (forbs)",2022,4,7,97,2459677,7,2022,4,21,111,2459691,-9999,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"15",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",41715,488,"Leaves","Leaves (forbs)",2022,4,14,104,2459684,7,2022,6,2,153,2459733,-9999,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"16",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",41715,500,"Flowers","Flowers or flower buds",2022,6,9,160,2459740,7,2022,6,30,181,2459761,-9999,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"17",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",41715,501,"Flowers","Open flowers",2022,7,7,188,2459768,7,2022,10,20,293,2459873,7,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"18",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",41715,504,"Fruits","Recent fruit or seed drop",2022,8,25,237,2459817,7,2022,12,15,349,2459929,-9999,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"19",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",41715,516,"Fruits","Fruits",2022,7,21,202,2459782,7,2022,12,15,349,2459929,-9999,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"20",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",931,"Monarda","fistulosa","wild bergamot","Plantae",85688,488,"Leaves","Leaves (forbs)",2022,3,17,76,2459656,7,2022,6,23,174,2459754,-9999,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"21",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",931,"Monarda","fistulosa","wild bergamot","Plantae",85688,500,"Flowers","Flowers or flower buds",2022,6,30,181,2459761,7,2022,7,14,195,2459775,-9999,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"22",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",931,"Monarda","fistulosa","wild bergamot","Plantae",85688,501,"Flowers","Open flowers",2022,7,14,195,2459775,7,2022,8,11,223,2459803,7,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"23",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",931,"Monarda","fistulosa","wild bergamot","Plantae",85688,504,"Fruits","Recent fruit or seed drop",2022,8,25,237,2459817,-9999,2022,12,15,349,2459929,-9999,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"24",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",916,"Lobelia","cardinalis","cardinalflower","Plantae",43933,390,"Fruits","Ripe fruits",2022,9,8,251,2459831,7,2022,10,6,279,2459859,7,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"25",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",916,"Lobelia","cardinalis","cardinalflower","Plantae",43933,482,"Leaves","Initial growth (forbs)",2022,4,7,97,2459677,-9999,2022,4,21,111,2459691,-9999,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"26",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",916,"Lobelia","cardinalis","cardinalflower","Plantae",43933,488,"Leaves","Leaves (forbs)",2022,4,14,104,2459684,7,2022,6,30,181,2459761,-9999,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"27",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",916,"Lobelia","cardinalis","cardinalflower","Plantae",43933,500,"Flowers","Flowers or flower buds",2022,7,7,188,2459768,7,2022,8,4,216,2459796,-9999,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"28",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",916,"Lobelia","cardinalis","cardinalflower","Plantae",43933,501,"Flowers","Open flowers",2022,8,4,216,2459796,7,2022,9,1,244,2459824,7,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"29",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",916,"Lobelia","cardinalis","cardinalflower","Plantae",43933,504,"Fruits","Recent fruit or seed drop",2022,9,22,265,2459845,7,2022,10,6,279,2459859,7,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"30",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",916,"Lobelia","cardinalis","cardinalflower","Plantae",43933,516,"Fruits","Fruits",2022,9,1,244,2459824,7,2022,10,6,279,2459859,7,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"31",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",931,"Monarda","fistulosa","wild bergamot","Plantae",85688,390,"Fruits","Ripe fruits",2022,8,25,237,2459817,7,2022,12,15,349,2459929,-9999,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"32",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",931,"Monarda","fistulosa","wild bergamot","Plantae",85688,482,"Leaves","Initial growth (forbs)",2022,3,10,69,2459649,-9999,2022,4,21,111,2459691,-9999,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"33",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",203122,483,"Leaves","Leaves",2022,5,12,132,2459712,7,2022,5,19,139,2459719,-9999,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"34",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",203122,498,"Leaves","Colored leaves",2022,10,20,293,2459873,7,2022,11,10,314,2459894,7,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"35",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",203122,500,"Flowers","Flowers or flower buds",2022,6,9,160,2459740,7,2022,7,7,188,2459768,7,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"36",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",203122,501,"Flowers","Open flowers",2022,7,7,188,2459768,7,2022,7,21,202,2459782,7,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"37",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",931,"Monarda","fistulosa","wild bergamot","Plantae",85688,516,"Fruits","Fruits",2022,8,11,223,2459803,7,2022,12,15,349,2459929,-9999,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"38",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",203122,516,"Fruits","Fruits",2022,7,28,209,2459789,7,2022,12,8,342,2459922,7,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"39",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",203122,390,"Fruits","Ripe fruits",2022,8,4,216,2459796,7,2022,12,8,342,2459922,7,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"40",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",203122,467,"Leaves","Increasing leaf size",2022,5,12,132,2459712,-9999,2022,5,19,139,2459719,7,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"41",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",203122,471,"Leaves","Falling leaves",2022,10,27,300,2459880,7,2022,11,10,314,2459894,7,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"42",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",203122,371,"Leaves","Breaking leaf buds",2022,4,28,118,2459698,7,2022,5,5,125,2459705,-9999,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"43",10585,"MG Perennial Demo Garden",41.433689,-81.693153,220,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",203122,504,"Fruits","Recent fruit or seed drop",2022,9,15,258,2459838,7,2022,12,8,342,2459922,7,"-9999",334.59,252.11,226.79,268.7,17.2648913043478,9.05098901098901,-5.01833333333333,5.10782608695652,27.6740217391304,18.2778021978022,3.946,15.5877173913043
"44",10835,"please remove this site",41.430107,-81.152695,329,"OH",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",43025,488,"Leaves","Leaves (forbs)",2022,6,12,163,2459743,-9999,2022,8,28,240,2459820,-9999,"-9999",341.8,335.33,319.29,318.19,15.2553260869565,7.52681318681319,-6.54577777777778,3.40119565217391,26.9515217391304,17.2953846153846,3.08955555555556,15.1278260869565
"45",10835,"please remove this site",41.430107,-81.152695,329,"OH",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",43025,500,"Flowers","Flowers or flower buds",2022,7,10,191,2459771,28,2022,8,28,240,2459820,-9999,"-9999",341.8,335.33,319.29,318.19,15.2553260869565,7.52681318681319,-6.54577777777778,3.40119565217391,26.9515217391304,17.2953846153846,3.08955555555556,15.1278260869565
"46",10835,"please remove this site",41.430107,-81.152695,329,"OH",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",43025,501,"Flowers","Open flowers",2022,7,10,191,2459771,28,2022,8,28,240,2459820,-9999,"-9999",341.8,335.33,319.29,318.19,15.2553260869565,7.52681318681319,-6.54577777777778,3.40119565217391,26.9515217391304,17.2953846153846,3.08955555555556,15.1278260869565
"47",10835,"please remove this site",41.430107,-81.152695,329,"OH",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",43025,482,"Leaves","Initial growth (forbs)",2022,6,12,163,2459743,-9999,2022,6,12,163,2459743,28,"-9999",341.8,335.33,319.29,318.19,15.2553260869565,7.52681318681319,-6.54577777777778,3.40119565217391,26.9515217391304,17.2953846153846,3.08955555555556,15.1278260869565
"48",11395,"Inniswood",40.10273,-82.900856,256,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",287316,471,"Leaves","Falling leaves",2022,9,20,263,2459843,7,2022,10,4,277,2459857,7,"-9999",408.86,245.36,373.14,329.61,17.0590217391304,8.36186813186813,-4.84022222222222,5.67141304347826,28.6134782608696,19.2904395604396,5.15466666666667,17.7889130434783
"49",11395,"Inniswood",40.10273,-82.900856,256,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",287316,371,"Leaves","Breaking leaf buds",2022,4,26,116,2459696,7,2022,5,10,130,2459710,7,"-9999",408.86,245.36,373.14,329.61,17.0590217391304,8.36186813186813,-4.84022222222222,5.67141304347826,28.6134782608696,19.2904395604396,5.15466666666667,17.7889130434783
"50",11395,"Inniswood",40.10273,-82.900856,256,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",287316,371,"Leaves","Breaking leaf buds",2022,6,21,172,2459752,7,2022,6,21,172,2459752,7,"-9999",408.86,245.36,373.14,329.61,17.0590217391304,8.36186813186813,-4.84022222222222,5.67141304347826,28.6134782608696,19.2904395604396,5.15466666666667,17.7889130434783
"51",11395,"Inniswood",40.10273,-82.900856,256,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",287316,390,"Fruits","Ripe fruits",2022,7,19,200,2459780,7,2022,11,15,319,2459899,-9999,"-9999",408.86,245.36,373.14,329.61,17.0590217391304,8.36186813186813,-4.84022222222222,5.67141304347826,28.6134782608696,19.2904395604396,5.15466666666667,17.7889130434783
"52",11395,"Inniswood",40.10273,-82.900856,256,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",287316,471,"Leaves","Falling leaves",2022,10,25,298,2459878,7,2022,10,25,298,2459878,7,"-9999",408.86,245.36,373.14,329.61,17.0590217391304,8.36186813186813,-4.84022222222222,5.67141304347826,28.6134782608696,19.2904395604396,5.15466666666667,17.7889130434783
"53",11395,"Inniswood",40.10273,-82.900856,256,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",287316,483,"Leaves","Leaves",2022,5,17,137,2459717,7,2022,11,1,305,2459885,7,"-9999",408.86,245.36,373.14,329.61,17.0590217391304,8.36186813186813,-4.84022222222222,5.67141304347826,28.6134782608696,19.2904395604396,5.15466666666667,17.7889130434783
"54",11395,"Inniswood",40.10273,-82.900856,256,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",287316,498,"Leaves","Colored leaves",2022,9,27,270,2459850,7,2022,10,18,291,2459871,7,"-9999",408.86,245.36,373.14,329.61,17.0590217391304,8.36186813186813,-4.84022222222222,5.67141304347826,28.6134782608696,19.2904395604396,5.15466666666667,17.7889130434783
"55",11395,"Inniswood",40.10273,-82.900856,256,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",287316,504,"Fruits","Recent fruit or seed drop",2022,7,19,200,2459780,7,2022,7,19,200,2459780,14,"-9999",408.86,245.36,373.14,329.61,17.0590217391304,8.36186813186813,-4.84022222222222,5.67141304347826,28.6134782608696,19.2904395604396,5.15466666666667,17.7889130434783
"56",11395,"Inniswood",40.10273,-82.900856,256,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",287316,504,"Fruits","Recent fruit or seed drop",2022,8,30,242,2459822,14,2022,11,15,319,2459899,-9999,"-9999",408.86,245.36,373.14,329.61,17.0590217391304,8.36186813186813,-4.84022222222222,5.67141304347826,28.6134782608696,19.2904395604396,5.15466666666667,17.7889130434783
"57",11395,"Inniswood",40.10273,-82.900856,256,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",287316,516,"Fruits","Fruits",2022,7,12,193,2459773,7,2022,9,13,256,2459836,7,"-9999",408.86,245.36,373.14,329.61,17.0590217391304,8.36186813186813,-4.84022222222222,5.67141304347826,28.6134782608696,19.2904395604396,5.15466666666667,17.7889130434783
"58",11395,"Inniswood",40.10273,-82.900856,256,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",287316,500,"Flowers","Flowers or flower buds",2022,6,7,158,2459738,7,2022,6,14,165,2459745,7,"-9999",408.86,245.36,373.14,329.61,17.0590217391304,8.36186813186813,-4.84022222222222,5.67141304347826,28.6134782608696,19.2904395604396,5.15466666666667,17.7889130434783
"59",11395,"Inniswood",40.10273,-82.900856,256,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",287316,501,"Flowers","Open flowers",2022,6,28,179,2459759,7,2022,7,19,200,2459780,14,"-9999",408.86,245.36,373.14,329.61,17.0590217391304,8.36186813186813,-4.84022222222222,5.67141304347826,28.6134782608696,19.2904395604396,5.15466666666667,17.7889130434783
"60",11395,"Inniswood",40.10273,-82.900856,256,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",287316,467,"Leaves","Increasing leaf size",2022,6,28,179,2459759,7,2022,7,5,186,2459766,7,"-9999",408.86,245.36,373.14,329.61,17.0590217391304,8.36186813186813,-4.84022222222222,5.67141304347826,28.6134782608696,19.2904395604396,5.15466666666667,17.7889130434783
"61",11395,"Inniswood",40.10273,-82.900856,256,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",287316,500,"Flowers","Flowers or flower buds",2022,6,28,179,2459759,7,2022,8,2,214,2459794,7,"-9999",408.86,245.36,373.14,329.61,17.0590217391304,8.36186813186813,-4.84022222222222,5.67141304347826,28.6134782608696,19.2904395604396,5.15466666666667,17.7889130434783
"62",11395,"Inniswood",40.10273,-82.900856,256,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",287316,501,"Flowers","Open flowers",2022,8,16,228,2459808,7,2022,8,16,228,2459808,7,"-9999",408.86,245.36,373.14,329.61,17.0590217391304,8.36186813186813,-4.84022222222222,5.67141304347826,28.6134782608696,19.2904395604396,5.15466666666667,17.7889130434783
"63",11617,"Home",45.194656,-93.374901,267,"MN",202,"Echinacea","purpurea","eastern purple coneflower","Plantae",165783,482,"Leaves","Initial growth (forbs)",2022,5,10,130,2459710,7,2022,5,10,130,2459710,-9999,"-9999",250.85,179.05,77.12,249.63,15.7615217391304,4.72230769230769,-16.1297777777778,0.432173913043478,28.0467391304348,16.1179120879121,-4.13344444444444,11.2189130434783
"64",11617,"Home",45.194656,-93.374901,267,"MN",931,"Monarda","fistulosa","wild bergamot","Plantae",165779,482,"Leaves","Initial growth (forbs)",2022,5,10,130,2459710,3,2022,5,10,130,2459710,-9999,"-9999",250.85,179.05,77.12,249.63,15.7615217391304,4.72230769230769,-16.1297777777778,0.432173913043478,28.0467391304348,16.1179120879121,-4.13344444444444,11.2189130434783
"65",16267,"Patterson",41.480042,-81.14473,387,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",230304,371,"Leaves","Breaking leaf buds",2022,5,18,138,2459718,8,2022,5,18,138,2459718,25,"-9999",361.61,352.08,321.05,329.91,14.7873913043478,7.1567032967033,-6.89077777777778,3.02434782608696,26.6172826086957,16.9046153846154,2.699,14.823152173913
"66",16267,"Patterson",41.480042,-81.14473,387,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",230304,500,"Flowers","Flowers or flower buds",2022,7,20,201,2459781,4,2022,7,20,201,2459781,7,"-9999",361.61,352.08,321.05,329.91,14.7873913043478,7.1567032967033,-6.89077777777778,3.02434782608696,26.6172826086957,16.9046153846154,2.699,14.823152173913
"67",16267,"Patterson",41.480042,-81.14473,387,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",230304,371,"Leaves","Breaking leaf buds",2022,6,24,175,2459755,2,2022,7,16,197,2459777,4,"-9999",361.61,352.08,321.05,329.91,14.7873913043478,7.1567032967033,-6.89077777777778,3.02434782608696,26.6172826086957,16.9046153846154,2.699,14.823152173913
"68",16267,"Patterson",41.480042,-81.14473,387,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",230304,483,"Leaves","Leaves",2022,5,18,138,2459718,8,2022,8,22,234,2459814,-9999,"-9999",361.61,352.08,321.05,329.91,14.7873913043478,7.1567032967033,-6.89077777777778,3.02434782608696,26.6172826086957,16.9046153846154,2.699,14.823152173913
"69",16267,"Patterson",41.480042,-81.14473,387,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",230304,498,"Leaves","Colored leaves",2022,7,16,197,2459777,22,2022,7,16,197,2459777,4,"-9999",361.61,352.08,321.05,329.91,14.7873913043478,7.1567032967033,-6.89077777777778,3.02434782608696,26.6172826086957,16.9046153846154,2.699,14.823152173913
