"","ind_pp_year","site_id","site_name","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_category","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","last_yes_year","last_yes_month","last_yes_day","last_yes_doy","last_yes_julian_date","numdays_until_next_no","observed_status_conflict_flag","prcp_summer","prcp_fall","prcp_winter","prcp_spring","tmin_summer","tmin_fall","tmin_winter","tmin_spring","tmax_summer","tmax_fall","tmax_winter","tmax_spring","year","peak_onset_doy","peak_end_doy","peak_duration","discontinuous_peak"
"11","10212_390_2017",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10212,390,"Fruits","Ripe fruits",2017,1,6,6,2457760,-9999,2017,1,6,6,2457760,8,"-9999",467,732,199,449,21.11,13.02,2.81,10.58,30.18,22.74,13,20.99,2017,6,363,358,1
"12","10212_390_2018",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10212,390,"Fruits","Ripe fruits",2018,1,8,8,2458127,-9999,2018,2,10,41,2458160,10,"-9999",518,255,223,403,21.25,12.69,0.59,9.4,30.46,22.38,11.41,19.64,2018,8,41,34,NA
"13","10212_501_2010",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10212,501,"Flowers","Open flowers",2010,6,9,160,2455357,7,2010,6,9,160,2455357,8,"-9999",317,514,372,295,22.14,13.05,-0.15,10.59,31.76,21.45,8.69,21.68,NA,NA,NA,NA,NA
"14","10212_501_2011",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10212,501,"Flowers","Open flowers",2011,6,9,160,2455722,7,2011,6,21,172,2455734,9,"-9999",604,428,187,171,21.48,12.23,-0.95,10.67,31.21,22.42,8.83,21.54,NA,NA,NA,NA,NA
"15","10212_501_2012",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10212,501,"Flowers","Open flowers",2012,6,14,166,2456093,7,2012,6,29,181,2456108,14,"-9999",459,256,162,367,21.27,12.57,2.86,11.66,30.21,22.31,13.29,22.09,NA,NA,NA,NA,NA
"16","10212_501_2013",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10212,501,"Flowers","Open flowers",2013,6,6,157,2456450,8,2013,6,6,157,2456450,9,"-9999",343,330,273,256,20.95,11.35,2.5,8.91,29.67,20.53,11.81,18.95,2013,178,189,12,NA
"17","10212_501_2014",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10212,501,"Flowers","Open flowers",2014,6,19,170,2456828,6,2014,7,5,186,2456844,7,"-9999",307,209,281,419,20.32,11.42,-0.11,8.88,29.36,21.5,10.77,19.76,2014,177,186,10,NA
"18","10212_501_2015",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10212,501,"Flowers","Open flowers",2015,6,18,169,2457192,8,2015,7,6,187,2457210,9,"-9999",415,397,271,248,21.29,12.01,-0.42,9.53,30.58,21.62,9.27,20.63,2015,176,176,1,NA
"19","10212_501_2016",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10212,501,"Flowers","Open flowers",2016,6,22,174,2457562,1,2016,7,13,195,2457583,9,"-9999",462,350,393,304,21.93,13.79,3.76,10.31,31.1,22.96,13.48,20.76,2016,182,182,1,NA
"20","10212_501_2017",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10212,501,"Flowers","Open flowers",2017,6,18,169,2457923,7,2017,7,1,182,2457936,7,"-9999",467,732,199,449,21.11,13.02,2.81,10.58,30.18,22.74,13,20.99,2017,176,182,7,NA
"21","10213_390_2010",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10213,390,"Fruits","Ripe fruits",2010,9,7,250,2455447,15,2010,12,22,356,2455553,-9999,"-9999",317,514,372,295,22.14,13.05,-0.15,10.59,31.76,21.45,8.69,21.68,NA,NA,NA,NA,NA
"22","10213_390_2011",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10213,390,"Fruits","Ripe fruits",2011,1,6,6,2455568,-9999,2011,3,11,70,2455632,35,"-9999",604,428,187,171,21.48,12.23,-0.95,10.67,31.21,22.42,8.83,21.54,NA,NA,NA,NA,NA
"23","10213_390_2012",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10213,390,"Fruits","Ripe fruits",2012,1,5,5,2455932,-9999,2012,4,10,101,2456028,9,"-9999",459,256,162,367,21.27,12.57,2.86,11.66,30.21,22.31,13.29,22.09,NA,NA,NA,NA,NA
"24","10213_390_2013",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10213,390,"Fruits","Ripe fruits",2013,10,1,274,2456567,7,2013,12,17,351,2456644,9,"-9999",343,330,273,256,20.95,11.35,2.5,8.91,29.67,20.53,11.81,18.95,2013,288,351,64,NA
"25","10213_390_2014",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10213,390,"Fruits","Ripe fruits",2014,9,7,250,2456908,7,2014,12,6,340,2456998,8,"-9999",307,209,281,419,20.32,11.42,-0.11,8.88,29.36,21.5,10.77,19.76,2014,271,334,64,NA
"26","10213_390_2016",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10213,390,"Fruits","Ripe fruits",2016,9,26,270,2457658,7,2016,12,31,366,2457754,-9999,"-9999",462,350,393,304,21.93,13.79,3.76,10.31,31.1,22.96,13.48,20.76,2016,331,345,15,NA
"27","10213_390_2017",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10213,390,"Fruits","Ripe fruits",2017,1,6,6,2457760,-9999,2017,1,6,6,2457760,8,"-9999",467,732,199,449,21.11,13.02,2.81,10.58,30.18,22.74,13,20.99,2017,261,261,1,NA
"28","10213_390_2018",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10213,390,"Fruits","Ripe fruits",2018,1,8,8,2458127,-9999,2018,2,20,51,2458170,7,"-9999",518,255,223,403,21.25,12.69,0.59,9.4,30.46,22.38,11.41,19.64,2018,8,51,44,NA
"29","10213_501_2011",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10213,501,"Flowers","Open flowers",2011,6,9,160,2455722,7,2011,6,21,172,2455734,9,"-9999",604,428,187,171,21.48,12.23,-0.95,10.67,31.21,22.42,8.83,21.54,NA,NA,NA,NA,NA
"30","10213_501_2012",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10213,501,"Flowers","Open flowers",2012,6,14,166,2456093,7,2012,6,29,181,2456108,14,"-9999",459,256,162,367,21.27,12.57,2.86,11.66,30.21,22.31,13.29,22.09,NA,NA,NA,NA,NA
"31","10213_501_2013",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10213,501,"Flowers","Open flowers",2013,6,6,157,2456450,8,2013,7,8,189,2456482,8,"-9999",343,330,273,256,20.95,11.35,2.5,8.91,29.67,20.53,11.81,18.95,2013,142,189,48,1
"32","10213_501_2014",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10213,501,"Flowers","Open flowers",2014,6,19,170,2456828,6,2014,7,12,193,2456851,10,"-9999",307,209,281,419,20.32,11.42,-0.11,8.88,29.36,21.5,10.77,19.76,2014,177,186,10,NA
"33","10213_501_2015",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10213,501,"Flowers","Open flowers",2015,6,18,169,2457192,8,2015,7,6,187,2457210,9,"-9999",415,397,271,248,21.29,12.01,-0.42,9.53,30.58,21.62,9.27,20.63,2015,176,176,1,NA
"34","10213_501_2016",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10213,501,"Flowers","Open flowers",2016,6,22,174,2457562,1,2016,7,7,189,2457577,6,"-9999",462,350,393,304,21.93,13.79,3.76,10.31,31.1,22.96,13.48,20.76,2016,182,182,1,NA
"35","10213_501_2017",5206,"Mirror Lake - NBG",36.902622,-76.206039,3,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10213,501,"Flowers","Open flowers",2017,6,18,169,2457923,7,2017,6,25,176,2457930,6,"-9999",467,732,199,449,21.11,13.02,2.81,10.58,30.18,22.74,13,20.99,2017,176,176,1,NA
"36","10215_390_2010",5207,"VA Natives Garden - NBG",36.904579,-76.19651,2,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10215,390,"Fruits","Ripe fruits",2010,9,29,272,2455469,13,2010,12,22,356,2455553,-9999,"-9999",316,504,367,293,22.18,13.12,-0.11,10.65,31.71,21.42,8.66,21.62,NA,NA,NA,NA,NA
"37","10215_390_2011",5207,"VA Natives Garden - NBG",36.904579,-76.19651,2,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10215,390,"Fruits","Ripe fruits",2011,1,6,6,2455568,-9999,2011,4,7,97,2455659,8,"-9999",606,414,185,166,21.52,12.29,-0.9,10.7,31.17,22.4,8.79,21.53,NA,NA,NA,NA,NA
"38","10215_390_2012",5207,"VA Natives Garden - NBG",36.904579,-76.19651,2,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10215,390,"Fruits","Ripe fruits",2012,1,5,5,2455932,-9999,2012,4,3,94,2456021,7,"-9999",444,256,159,355,21.31,12.64,2.88,11.68,30.18,22.28,13.23,22.01,NA,NA,NA,NA,NA
"39","10215_390_2013",5207,"VA Natives Garden - NBG",36.904579,-76.19651,2,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10215,390,"Fruits","Ripe fruits",2013,9,5,248,2456541,16,2013,12,1,335,2456628,11,"-9999",335,337,274,251,20.99,11.41,2.51,8.93,29.66,20.54,11.8,18.91,2013,274,288,15,NA
"40","10215_390_2014",5207,"VA Natives Garden - NBG",36.904579,-76.19651,2,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10215,390,"Fruits","Ripe fruits",2014,9,7,250,2456908,7,2014,12,6,340,2456998,8,"-9999",326,208,241,344,20.36,11.49,-0.07,8.89,29.33,21.51,10.74,19.71,2014,271,313,43,1
"41","10215_390_2016",5207,"VA Natives Garden - NBG",36.904579,-76.19651,2,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10215,390,"Fruits","Ripe fruits",2016,9,19,263,2457651,7,2016,11,19,324,2457712,7,"-9999",467,336,389,304,21.99,13.82,3.8,10.34,31.09,22.96,13.48,20.75,2016,289,289,1,NA
"42","10215_390_2017",5207,"VA Natives Garden - NBG",36.904579,-76.19651,2,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10215,390,"Fruits","Ripe fruits",2017,7,31,212,2457966,10,2017,12,29,363,2458117,-9999,"-9999",472,718,184,451,21.17,13.07,2.83,10.63,30.15,22.71,12.97,20.95,2017,231,303,73,NA
"43","10215_390_2018",5207,"VA Natives Garden - NBG",36.904579,-76.19651,2,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10215,390,"Fruits","Ripe fruits",2018,1,8,8,2458127,-9999,2018,2,10,41,2458160,10,"-9999",515,244,213,396,21.27,12.74,0.62,9.42,30.45,22.37,11.39,19.63,2018,8,34,27,NA
"44","10215_501_2011",5207,"VA Natives Garden - NBG",36.904579,-76.19651,2,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10215,501,"Flowers","Open flowers",2011,6,21,172,2455734,12,2011,6,21,172,2455734,9,"-9999",606,414,185,166,21.52,12.29,-0.9,10.7,31.17,22.4,8.79,21.53,NA,NA,NA,NA,NA
"45","10215_501_2012",5207,"VA Natives Garden - NBG",36.904579,-76.19651,2,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10215,501,"Flowers","Open flowers",2012,6,29,181,2456108,7,2012,6,29,181,2456108,14,"-9999",444,256,159,355,21.31,12.64,2.88,11.68,30.18,22.28,13.23,22.01,NA,NA,NA,NA,NA
"46","10215_501_2013",5207,"VA Natives Garden - NBG",36.904579,-76.19651,2,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10215,501,"Flowers","Open flowers",2013,6,27,178,2456471,14,2013,7,16,197,2456490,8,"-9999",335,337,274,251,20.99,11.41,2.51,8.93,29.66,20.54,11.8,18.91,2013,189,197,9,NA
"47","10215_501_2014",5207,"VA Natives Garden - NBG",36.904579,-76.19651,2,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10215,501,"Flowers","Open flowers",2014,7,5,186,2456844,9,2014,7,12,193,2456851,10,"-9999",326,208,241,344,20.36,11.49,-0.07,8.89,29.33,21.51,10.74,19.71,2014,193,193,1,NA
"48","10215_501_2015",5207,"VA Natives Garden - NBG",36.904579,-76.19651,2,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10215,501,"Flowers","Open flowers",2015,6,25,176,2457199,7,2015,6,25,176,2457199,11,"-9999",413,359,262,244,21.32,12.05,-0.36,9.54,30.55,21.58,9.25,20.6,2015,176,176,1,NA
"49","10215_501_2016",5207,"VA Natives Garden - NBG",36.904579,-76.19651,2,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10215,501,"Flowers","Open flowers",2016,7,6,188,2457576,6,2016,8,8,221,2457609,12,"-9999",467,336,389,304,21.99,13.82,3.8,10.34,31.09,22.96,13.48,20.75,2016,188,188,1,NA
"50","10215_501_2017",5207,"VA Natives Garden - NBG",36.904579,-76.19651,2,"VA",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",10215,501,"Flowers","Open flowers",2017,6,25,176,2457930,7,2017,6,25,176,2457930,6,"-9999",472,718,184,451,21.17,13.07,2.83,10.63,30.15,22.71,12.97,20.95,2017,176,176,1,NA
"51","102172_501_2016",21943,"Home",39.659149,-78.929802,636,"MD",781,"Acer","saccharinum","silver maple","Plantae",102172,501,"Flowers","Open flowers",2016,3,12,72,2457460,-9999,2016,3,27,87,2457475,3,"-9999",338,296,266,262,15.37,5.5,-5.35,3.04,26.61,17.34,4.61,15.48,2016,75,75,1,NA
"52","102809_390_2016",11617,"Home",45.194656,-93.374901,267,"MN",781,"Acer","saccharinum","silver maple","Plantae",102809,390,"Fruits","Ripe fruits",2016,5,15,136,2457524,17,2016,5,25,146,2457534,8,"-9999",405,273,79,220,15.7,5.86,-9.21,3.22,27.09,16.64,-1.38,14.62,2016,136,146,11,NA
"53","102809_390_2017",11617,"Home",45.194656,-93.374901,267,"MN",781,"Acer","saccharinum","silver maple","Plantae",102809,390,"Fruits","Ripe fruits",2017,5,24,144,2457898,5,2017,6,4,155,2457909,19,"-9999",373,344,90,250,14.09,5.82,-9.82,1.6,26.29,16.12,-1.17,12.85,2017,155,155,1,NA
"54","102809_390_2018",11617,"Home",45.194656,-93.374901,267,"MN",781,"Acer","saccharinum","silver maple","Plantae",102809,390,"Fruits","Ripe fruits",2018,5,24,144,2458263,4,2018,5,24,144,2458263,20,"-9999",324,165,74,156,15.97,3.55,-14.9,0.2,27.23,14.36,-4.55,12.43,2018,144,144,1,NA
"55","102809_390_2019",11617,"Home",45.194656,-93.374901,267,"MN",781,"Acer","saccharinum","silver maple","Plantae",102809,390,"Fruits","Ripe fruits",2019,5,24,144,2458628,4,2019,6,20,171,2458655,13,"-9999",312,240,112,316,15.2,2.34,-13.85,-0.98,26.47,11.34,-4.61,10.72,2019,154,154,1,NA
"56","102809_501_2016",11617,"Home",45.194656,-93.374901,267,"MN",781,"Acer","saccharinum","silver maple","Plantae",102809,501,"Flowers","Open flowers",2016,3,8,68,2457456,-9999,2016,3,15,75,2457463,7,"-9999",405,273,79,220,15.7,5.86,-9.21,3.22,27.09,16.64,-1.38,14.62,2016,75,95,21,1
"57","102809_501_2017",11617,"Home",45.194656,-93.374901,267,"MN",781,"Acer","saccharinum","silver maple","Plantae",102809,501,"Flowers","Open flowers",2017,2,28,59,2457813,-9999,2017,4,18,108,2457862,7,"-9999",373,344,90,250,14.09,5.82,-9.82,1.6,26.29,16.12,-1.17,12.85,2017,76,101,26,NA
"58","102809_501_2018",11617,"Home",45.194656,-93.374901,267,"MN",781,"Acer","saccharinum","silver maple","Plantae",102809,501,"Flowers","Open flowers",2018,4,25,115,2458234,70,2018,4,25,115,2458234,12,"-9999",324,165,74,156,15.97,3.55,-14.9,0.2,27.23,14.36,-4.55,12.43,2018,115,115,1,NA
"59","102809_501_2019",11617,"Home",45.194656,-93.374901,267,"MN",781,"Acer","saccharinum","silver maple","Plantae",102809,501,"Flowers","Open flowers",2019,4,7,97,2458581,51,2019,4,20,110,2458594,8,"-9999",312,240,112,316,15.2,2.34,-13.85,-0.98,26.47,11.34,-4.61,10.72,2019,106,110,5,NA
"60","102809_501_2020",11617,"Home",45.194656,-93.374901,267,"MN",781,"Acer","saccharinum","silver maple","Plantae",102809,501,"Flowers","Open flowers",2020,4,1,92,2458941,19,2020,4,6,97,2458946,18,"-9999",316.34,327.2,83.38,194.69,16.03,3.23,-12.19,1.74,28.32,11.87,-2.01,13.12,2020,92,97,6,NA
"61","102809_501_2021",11617,"Home",45.194656,-93.374901,267,"MN",781,"Acer","saccharinum","silver maple","Plantae",102809,501,"Flowers","Open flowers",2021,3,12,71,2459286,14,2021,4,9,99,2459314,-9999,"-9999",204.1,117.78,64.76,187.59,16.41,2.38,-12.16,2.35,29.64,12.85,-3.13,14.43,2021,78,89,12,NA
"62","102809_501_2022",11617,"Home",45.194656,-93.374901,267,"MN",781,"Acer","saccharinum","silver maple","Plantae",102809,501,"Flowers","Open flowers",2022,4,3,93,2459673,7,2022,4,15,105,2459685,10,"-9999",250.85,179.05,77.12,249.63,15.7615217391304,4.72230769230769,-16.1297777777778,0.432173913043478,28.0467391304348,16.1179120879121,-4.13344444444444,11.2189130434783,2022,120,130,11,1
"63","103311_390_2016",22872,"Park Woods Trail",39.980976,-82.411469,299,"OH",201,"Cephalanthus","occidentalis","common buttonbush","Plantae",103311,390,"Fruits","Ripe fruits",2016,9,22,266,2457654,128,2016,10,18,292,2457680,-9999,"-9999",243,178,224,259,17.28,7.22,-3.64,5.23,29.39,19.83,6.83,17.95,NA,NA,NA,NA,NA
"64","103381_501_2016",22765,"Stonehollow",45.324078,-93.891396,293,"MN",781,"Acer","saccharinum","silver maple","Plantae",103381,501,"Flowers","Open flowers",2016,4,2,93,2457481,2,2016,4,26,117,2457505,-9999,"-9999",413,200,48,180,15.22,5.34,-9.92,2.86,26.71,16.34,-1.88,14.26,2016,117,117,1,NA
"65","103722_390_2019",463,"PPN_9239912",37.427532,-92.958176,391,"MO",781,"Acer","saccharinum","silver maple","Plantae",103722,390,"Fruits","Ripe fruits",2019,4,29,119,2458603,25,2019,4,29,119,2458603,58,"-9999",433,251,271,466,18.53,7.55,-3.31,6.73,29.43,18.69,7.05,18.57,NA,NA,NA,NA,NA
"66","103722_390_2022",463,"PPN_9239912",37.427532,-92.958176,391,"MO",781,"Acer","saccharinum","silver maple","Plantae",103722,390,"Fruits","Ripe fruits",2022,5,5,125,2459705,15,2022,5,5,125,2459705,-9999,"-9999",228.8,252.43,180.71,543.2,19.3041304347826,8.89428571428572,-3.573,6.8,32.3539130434783,21.5546153846154,9.49844444444444,19.1533695652174,2022,125,125,1,NA
"67","104268_501_2016",23026,"FSL Road",38.009502,-91.462395,276,"MO",931,"Monarda","fistulosa","wild bergamot","Plantae",104268,501,"Flowers","Open flowers",2016,5,2,123,2457511,15,2016,5,2,123,2457511,-9999,"-9999",399,293,344,387,19.66,9.16,-2.13,7.78,30.54,21.63,8.96,20.45,2016,123,123,1,NA
"68","104269_501_2016",23026,"FSL Road",38.009502,-91.462395,276,"MO",931,"Monarda","fistulosa","wild bergamot","Plantae",104269,501,"Flowers","Open flowers",2016,5,2,123,2457511,15,2016,5,2,123,2457511,-9999,"-9999",399,293,344,387,19.66,9.16,-2.13,7.78,30.54,21.63,8.96,20.45,2016,123,123,1,NA
"69","105349_501_2016",23021,"home",42.101402,-75.753441,461,"NY",781,"Acer","saccharinum","silver maple","Plantae",105349,501,"Flowers","Open flowers",2016,4,2,93,2457481,-9999,2016,4,2,93,2457481,-9999,"-9999",340,235,235,207,13.37,4.84,-5.88,0.65,26.38,16.7,3.56,13.95,NA,NA,NA,NA,NA
"70","106175_390_2016",16454,"Vassar College Ecological Preserve",41.667408,-73.895546,41,"NY",931,"Monarda","fistulosa","wild bergamot","Plantae",106175,390,"Fruits","Ripe fruits",2016,9,16,260,2457648,3,2016,10,12,286,2457674,1,"-9999",282,234,259,193,16.16,6.25,-3.3,4.05,29.32,19.45,6.93,17.14,NA,NA,NA,NA,NA
"71","106175_390_2017",16454,"Vassar College Ecological Preserve",41.667408,-73.895546,41,"NY",931,"Monarda","fistulosa","wild bergamot","Plantae",106175,390,"Fruits","Ripe fruits",2017,8,27,239,2457993,5,2017,8,27,239,2457993,2,"-9999",306,230,247,394,14.98,6.11,-4.11,3.14,27.13,18.68,5.37,14.76,2017,289,289,1,NA
"72","106175_390_2018",16454,"Vassar College Ecological Preserve",41.667408,-73.895546,41,"NY",931,"Monarda","fistulosa","wild bergamot","Plantae",106175,390,"Fruits","Ripe fruits",2018,9,28,271,2458390,1,2018,10,8,281,2458400,2,"-9999",434,191,272,278,16.67,6.55,-6.58,3.28,28.34,19.01,3.28,14.52,2018,271,271,1,NA
"73","106175_390_2019",16454,"Vassar College Ecological Preserve",41.667408,-73.895546,41,"NY",931,"Monarda","fistulosa","wild bergamot","Plantae",106175,390,"Fruits","Ripe fruits",2019,8,21,233,2458717,7,2019,8,21,233,2458717,5,"-9999",277,504,298,314,15.72,6.97,-5.74,3.58,28.51,15.73,3.68,15.04,2019,252,252,1,NA
"74","106175_390_2020",16454,"Vassar College Ecological Preserve",41.667408,-73.895546,41,"NY",931,"Monarda","fistulosa","wild bergamot","Plantae",106175,390,"Fruits","Ripe fruits",2020,2,4,35,2458884,-9999,2020,3,11,71,2458920,6,"-9999",201.85,283.63,245.54,240.17,16.22,5.4,-4.21,3.23,29.77,17.19,5.2,15.63,2020,247,316,70,1
"75","106175_390_2021",16454,"Vassar College Ecological Preserve",41.667408,-73.895546,41,"NY",931,"Monarda","fistulosa","wild bergamot","Plantae",106175,390,"Fruits","Ripe fruits",2021,8,27,239,2459454,16,2021,8,27,239,2459454,3,"-9999",366.17,282.95,235.32,256.35,16.38,6.27,-5.64,3.02,28.26,18.75,3.34,16.69,2021,257,282,26,1
